blaster,modbus_address,rom,code_size_bytes,code_base64,referenced_by,status
wb-msw-v3_207,207,5,150,A4QBwgA4ADgAOAA4ADgAqQA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAqQA4AKkAOAA4ADgAqQA4AKkAOACpADgAqQA4AKkAOAA4ADgAqQA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAOAA4AKkAOAA4ADgAqQA4AKkAOACpADgAqQA4AKkAOACpADgPtwOEAOEAOCWVA4QA4QA4,appletv_living:topic,ok
wb-msw-v3_207,207,6,174,A4QBwgA7ADsAOwA7ADsAqQA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAqQA7AKkAOwA7ADsAqQA7AKkAOwCpADsAqQA7AKkAOwCpADsAqQA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAqQA7AKkAOwCpADsAqQA7AKkAOwCpADsPrQOEAOIAOyWcA4QA4gA7JZwDhADiADslnAOEAOIAOyWcA4QA4gA7,appletv_living:topic,ok
wb-msw-v3_207,207,17,174,AFoAWgBaAFoAWgBaALcAWgBaAFoAWgBaAFoAtwC3ALcAtwBaAFoAWgBaIwwAWgBaAFoAWgBaAFoAtwBaAFoAWgBaAFoAWgC3ALcAtwC3AFoAWgBaAFojDABaAFoAWgBaAFoAWgC3AFoAWgBaAFoAWgBaALcAtwC3ALcAWgBaAFoAWiMMAFoAWgBaAFoAWgBaALcAWgBaAFoAWgBaAFoAtwC3ALcAtwBaAFoAWgBa,mf_amplifier:power (Power On/Off),ok
wb-msw-v3_207,207,18,238,AFoAWgBaAFoAWgBaALQAWgBaAFoAWgBaAFoAWgBaALQAtABaAFoAWgBaAFoAWiMMAFoAWgBaAFoAWgBaALQAWgBaAFoAWgBaAFoAWgBaALQAtABaAFoAWgBaAFoAWiMMAFoAWgBaAFoAWgBaALQAWgBaAFoAWgBaAFoAWgBaALQAtABaAFoAWgBaAFoAWiMMAFoAWgBaAFoAWgBaALQAWgBaAFoAWgBaAFoAWgBaALQAtABaAFoAWgBaAFoAWiMMAFoAWgBaAFoAWgBaALQAWgBaAFoAWgBaAFoAWgBaALQAtABaAFoAWgBaAFoAWg==,mf_amplifier:volume_up (Volume Up),ok
wb-msw-v3_207,207,19,218,AF0AXQC0ALQAtABdAF0AXQBdAF0AXQBdAF0AtAC0AF0AXQBdAF0AtABdIrQAXQBdALQAtAC0AF0AXQBdAF0AXQBdAF0AXQC0ALQAXQBdAF0AXQC0AF0itABdAF0AtAC0ALQAXQBdAF0AXQBdAF0AXQBdALQAtABdAF0AXQBdALQAXSK0AF0AXQC0ALQAtABdAF0AXQBdAF0AXQBdAF0AtAC0AF0AXQBdAF0AtABdIrQAXQBdALQAtAC0AF0AXQBdAF0AXQBdAF0AXQC0ALQAXQBdAF0AXQC0AF0=,mf_amplifier:volume_down (Volume Down),ok
wb-msw-v3_207,207,20,142,AF0AXQC0ALQAtABdAF0AXQBdAF0AXQBdAF0AtAC0AF0AXQBdAF0AtABdIrQAXQBdALQAtAC0AF0AXQBdAF0AXQBdAF0AXQC0ALQAXQBdAF0AXQC0AF0itABdAF0AtAC0ALQAXQBdAF0AXQBdAF0AXQBdALQAtABdAF0AXQBdALQAXSK0AF0AXQC0ALQAtA==,mf_amplifier:mute (Mute),ok
wb-msw-v3_207,207,21,142,AFoAWgCzALMAswBaAFoAWgBaAFoAWgBaAFoAWgBaAFoAWgBaAFoAswBaAFoAWiK1AFoAWgCzALMAswBaAFoAWgBaAFoAWgBaAFoAWgBaAFoAWgBaAFoAswBaAFoAWiK1AFoAWgCzALMAswBaAFoAWgBaAFoAWgBaAFoAWgBaAFoAWgBaAFoAswBaAFoAWg==,mf_amplifier:input_cd (CD),ok
wb-msw-v3_207,207,22,206,AF0AXQBdAF0AXQBdALQAXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQC0AF0itQBdAF0AXQBdAF0AXQC0AF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AtABdIrUAXQBdAF0AXQBdAF0AtABdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdALQAXSK1AF0AXQBdAF0AXQBdALQAXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQC0AF0=,mf_amplifier:input_tuner (Tuner),ok
wb-msw-v3_207,207,23,174,AF0AXQBdAF0AXQBdALQAXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQC0AF0itQBdAF0AXQBdAF0AXQC0AF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AtABdIrUAXQBdAF0AXQBdAF0AtABdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AXQBdALQAXSK1AF0AXQBdAF0AXQBdALQAXQBd,mf_amplifier:input_aux1 (AUX1),ok
wb-msw-v3_207,207,24,142,AF0AXQBdAF0AXQBdALcAXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AtwC3ALcAXSKzAF0AXQBdAF0AXQBdALcAXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AtwC3ALcAXSKzAF0AXQBdAF0AXQBdALcAXQBdAF0AXQBdAF0AXQBdAF0AXQBdAF0AtwC3ALcAXQ==,mf_amplifier:input_aux2 (AUX2),ok
wb-msw-v3_207,207,25,130,AFsAWwC2ALYAtgBbAFsAWwBbAFsAWwBbAFsAWwBbAFsAWwBbAFsAtgC2IwgAWwBbALYAtgC2AFsAWwBbAFsAWwBbAFsAWwBbAFsAWwBbAFsAWwC2ALYjCABbAFsAtgC2ALYAWwBbAFsAWwBbAFsAWwBbAFsAWwBbAFsAWwBbALYAtg==,mf_amplifier:input_balanced (Balanced),ok
wb-msw-v3_207,207,26,150,AFsAWwC2ALYAtgBbAFsAWwBbAFsAWwBbAFsAWwBbAFsAWwBbAFsAtgC2IwgAWwBbALYAtgC2AFsAWwBbAFsAWwBbAFsAWwBbAFsAWwBbAFsAWwC2ALYjCABbAFsAtgC2ALYAWwBbAFsAWwBbAFsAWwBbAFsAWwBbAFsAWwBbALYAtgAAAAAAAAAAAAAAAAAAAAAAAAAA,video:power_on (Power On),ok
wb-msw-v3_207,207,27,158,A4cBwgA9ADMAPQA9AD0APQA9ADMAPQA9AD0APQA9AKcAPQA9AD0AMwA9AD0APQA9AD0APQA9AD0APQA9AD0ApwA9AD0APQCnAD0ApwA9AD0APQA9AD0ApwA9AKcAPQA9AD0ApwA9AD0APQA9AD0ApwA9AKcAPQA9AD0APQA9AKcAPQAzAD0STAOHAN8APSWcA4cA3wA9AAAAAAAAAAA=,video:power_off (Power Off),ok
wb-msw-v3_207,207,28,158,A4cBwQA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAOwA7AKcAOwAzADsAOwA7ADsAOwA7ADsAOwA7ADsAOwA7ADsApwA7ADsAOwCnADsAMwA7AKcAOwA7ADsApwA7AKcAOwA7ADsApwA7ADsAOwCnADsAOwA7AKcAOwA7ADsAOwA7AKcAOwA7ADsSSwOHAN8AOyWbA4cA3wA7JZsDhwDfADs=,video:play_pause (Play/Pause),ok
wb-msw-v3_207,207,29,150,A4cBwgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoAOgA6AKcAOgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoApwA6ADoAOgA6ADoApwA6AKcAOgCnADoApwA6ADoAOgA6ADoAOgA6AKcAOgA6ADoAOgA6ADoAOgA6ADoApwA6AKcAOgCnADoSTAOHAN8AOiWdA4cA3wA6,video:chapter_plus (Chapter+),ok
wb-msw-v3_207,207,30,158,A4cBwgA9ADMAPQA9AD0APQA9ADMAPQA9AD0AMwA9AKcAPQA9AD0APQA9AD0APQA9AD0APQA9AD0APQA9AD0ApwA9AD0APQCnAD0ApwA9AKcAPQCnAD0ApwA9AD0APQA9AD0APQA9AD0APQA9AD0AMwA9AD0APQA9AD0ApwA9AKcAPQCnAD0STAOHANwAPSWcA4cA3AA9JZwDhwDcAD0=,video:chapter_minus (Chapter-),ok
wb-msw-v3_207,207,31,150,A4cBwgA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAOwA7AKQAOwA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAOwA7ADsApAA7ADsAOwA7ADsApAA7ADsAOwA7ADsAOwA7ADsAOwCkADsAOwA7AKQAOwA7ADsApAA7AKQAOwCkADsApAA7ADsAOwCkADsSSgOHAN0AOyWeA4cA3QA7,video:stop (Stop),ok
wb-msw-v3_207,207,32,150,A4cBwgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoAOgA6AKQAOgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoApAA6ADoAOgCkADoApAA6ADoAOgCkADoAOgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoApAA6ADoAOgCkADoApAA6AKQAOgCkADoSTAOHAN8AOiWdA4cA3wA6,video:menu_up (Up),ok
wb-msw-v3_207,207,33,150,A4cBwQA7ADsAOwA7ADsAOwA7ADMAOwA7ADsAOwA7AKQAOwA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAOwA7ADsApAA7ADsAOwA7ADsApAA7AKQAOwCkADsAOwA7ADsAOwA7ADsAOwA7AKQAOwA7ADsAOwA7ADsAOwCkADsApAA7AKQAOwCkADsSSQOHAN8AOyWcA4cA3wA7,video:menu_down (Down),ok
wb-msw-v3_207,207,34,158,A4cBwgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoAOgA6AKcAOgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoAOgA6ADoApwA6ADoAOgA6ADoAOgA6ADoAOgA6ADoApwA6ADoAOgA6ADoAOgA6AKcAOgCnADoApwA6AKcAOgA6ADoApwA6AKcAOgCnADoSTAOHAN8AOiWdA4cA3wA6JZ0DhwDfADo=,video:menu_left (Left),ok
wb-msw-v3_207,207,35,158,A4gBwQA7ADsAOwA7ADsAOwA7ADsAOwA7ADsAOwA7AKQAOwA7ADsAMwA7ADsAOwA7ADsAOwA7ADMAOwA7ADsApAA7ADMAOwCkADsAOwA7ADsAOwAzADsApAA7ADsAOwA7ADsAOwA7ADsAOwCkADsApAA7AKQAOwA7ADsApAA7AKQAOwCkADsSSwOIAN8AOyWfA4gA3wA7JZ8DiADfADs=,video:menu_right (Right),ok
wb-msw-v3_207,207,36,150,A4oBwAA9ADMAPQAzAD0APQA9ADMAPQAzAD0APQA9AKcAPQA9AD0AMwA9AD0APQA9AD0APQA9AD0APQA9AD0ApwA9AD0APQCnAD0APQA9AKcAPQCnAD0AMwA9AD0APQA9AD0AMwA9AD0APQCnAD0APQA9AD0APQCnAD0ApwA9AKcAPQCnAD0SPQOKAN8APSWeA4oA3wA9,video:menu_ok (OK/Enter),ok
wb-msw-v3_207,207,37,158,A4cBwgA9ADQAPQA9AD0APQA9ADQAPQA9AD0ANAA9AKcAPQA9AD0APQA9AD0APQA9AD0ANAA9AD0APQA9AD0ApwA9ADQAPQCnAD0APQA9AD0APQCnAD0ApwA9AD0APQA9AD0APQA9AD0APQCnAD0ApwA9AD0APQA9AD0ApwA9AKcAPQCnAD0SOwOHAN8APSWdA4cA3wA9JZ0DhwDfAD0=,video:audio (Audio),ok
wb-msw-v3_207,207,38,150,A4cBwgA9ADQAPQA9AD0APQA9ADQAPQA9AD0ANAA9AKcAPQA9AD0APQA9AD0APQA9AD0ANAA9AD0APQA9AD0ApwA9ADQAPQCnAD0APQA9AD0APQCnAD0ApwA9AD0APQA9AD0APQA9AD0APQCnAD0ApwA9AD0APQA9AD0ApwA9AKcAPQCnAD0SOwOHAN8APSWdA4cA3wA9,video:subtitles (Subtitles),ok
wb-msw-v3_207,207,57,158,A4gBwQA9ADQAPQA0AD0ANAA9AD0APQA9AD0APQA9AKQAPQA0AD0ANAA9ADQAPQA0AD0ANAA9AD0APQA9AD0ApAA9AD0APQCkAD0ApAA9ADQAPQCkAD0ApAA9AD0APQA9AD0APQA9AD0APQA9AD0ApAA9AD0APQA0AD0ApAA9AKQAPQCkAD0SPgOIAN8APSWcA4gA3wA9AAAAAAAAAAA=,upscaler:power_on (Power On),ok
wb-msw-v3_207,207,58,166,A4YBuwA9ADMAPQA9AD0ApgA9AD0APQA9AD0APQA9AD0APQCmAD0APQA9AD0APQA9AD0APQA9AD0APQCmAD0APQA9AD0APQAzAD0ApgA9AD0APQA9AD0APQA9ADMAPQCmAD0APQA9AKYAPQA9AD0ApgA9AKYAPQCmAD0ApgA9AD0APQCmAD0R3QOGAN0APSWHA4YA3QA9JYcDhgDdAD0AAAAAAAAAAA==,upscaler:power_off (Power Off),ok
wb-msw-v3_207,207,59,174,A4ABwQA3ADcANwA3ADcAqQA3ADcANwA3ADcANwA3ADcANwCpADcANwA3ADcANwA3ADcANwA3ADcANwCpADcANwA3ADcANwCpADcAqQA3ADcANwCpADcAqQA3ADcANwCpADcANwA3ADcANwA3ADcAqQA3ADcANwA3ADcAqQA3ADcANwCpADcR3AOAAOAANyWDA4AA4AA3JYMDgADgADclgwOAAOAANwAAAAAAAAAA,upscaler:input_video (Input Video),ok
wb-msw-v3_207,207,60,174,A4MBvgA6ADoAOgA6ADoApQA6ADoAOgA6ADoAOgA6ADoAOgClADoAOgA6ADoAOgA6ADoAOgA6ADoAOgClADoAOgA6ADoAOgA6ADoApQA6AKUAOgClADoAOgA6ADoAOgClADoAOgA6AKUAOgA6ADoAOgA6ADoAOgClADoApQA6ADoAOgClADoR2wODANwAOiWGA4MA3AA6JYYDgwDcADolhgODANwAOiWGA4MA3AA6,upscaler:input_s_vhs (Input S-VHS),ok
wb-msw-v3_207,207,61,174,A4MBvgA6ADoAOgA6ADoApwA6ADoAOgA6ADoAOgA6ADoAOgCnADoAOgA6ADoAOgA6ADoAOgA6ADoAOgCnADoAOgA6ADoAOgCnADoAOgA6AKcAOgA6ADoAOgA6ADoAOgCnADoAOgA6ADoAOgCnADoAOgA6AKcAOgCnADoApwA6ADoAOgCnADoR0wODAN4AOiV9A4MA3gA6JX0DgwDeADolfQODAN4AOiV9A4MA3gA6,upscaler:ratio_4_3 (Ratio 4:3),ok
wb-msw-v3_207,207,62,166,A4MBwQA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAOAA4ADgApwA4AKcAOACnADgApwA4AKcAOACnADgApwA4AKcAOAA4ADgAOAA4AKcAOAA4ADgApwA4ADgAOAA4ADgAOAA4AKcAOACnADgAOAA4AKcAOAA4ADgApwA4AKcAOACnADgP/AODAOAAOCXKA4MA4AA4JcoDgwDgADglygODAOAAOA==,streamer:topic,ok
wb-msw-v3_207,207,63,554,AWYAtgApAJYAGxHqAWYAtgApACkAKQCWACkALwApAC8AKQAvACkAKQApACkAKQAvACkAKQApACkAKQAvACkAKQApAC8AKQCWACkALwApACkAKQAvACkAKQApACkAKQApACkAlgApACkAKQAvACkAlgApACkAKQApACkAKQApAC8AKQApACkALwApACkAKQAvACkAlgApK+IBZgC2ACkAKQApAJYAKQApACkAKQApACkAKQApACkAKQApACkAKQApACkAKQApACkAKQAvACkAKQApAJYAKQApACkALwApACkAKQAvACkAKQApAC8AKQCWACkALwApACkAKQCWACkALwApACkAKQAvACkALwApAC8AKQAvACkAKQApAC8AKQCWACkALwApAJYAKQCWACkAlgApAJYAKQAvACkALwApAJYAKQApACkAlgApAJYAKQApACkAlgApAC8AKQCWACkdQgEtK+IBZgC2ACkAKQApAJYAKQApACkAKQApACkAKQApACkAKQApACkAKQApACkAKQApACkAKQApACkAKQApAJYAKQApACkAKQApACkAKQApACkAKQApACkAKQCWACkAKQApACkAKQCWACkAKQApACkAKQAvACkAKQApACkAKQApACkAKQApACkAKQCWACkAKQApAJYAKQCWACkAlgApAJYAKQApACkAKQApAJYAKQApACkAlgApAJYAKQAvACkAlgApAC8AKQCWACk=,vhs_player:power (Power On/Off),ok
