blaster,modbus_address,rom,code_size_bytes,code_base64,referenced_by,status
wb-msw-v3_220,220,1,182,A4ABwgA4ADgAOAA4ADgAqQA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAqQA4AKkAOAA4ADgAqQA4AKkAOACpADgAqQA4AKkAOAA4ADgAqQA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAOAA4AKkAOAA4ADgAqQA4AKkAOACpADgAqQA4AKkAOACpADgPoQOAAOQAOCWkA4AA5AA4JaQDgADkADglpAOAAOQAOCWkA4AA5AA4JaQDgADkADg=,appletv_children:topic,ok
wb-msw-v3_220,220,2,214,A4MBwwA4ADgAOAA4ADgAqQA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAqQA4AKkAOAA4ADgAqQA4AKkAOACpADgAqQA4AKkAOACpADgAqQA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAOAA4ADgAqQA4AKkAOACpADgAqQA4AKkAOACpADgPsQODAOQAOCWuA4MA5AA4Ja4DgwDkADglrgODAOQAOCWuA4MA5AA4Ja4DgwDkADglrgODAOQAOCWuA4MA5AA4Ja4DgwDkADglrgODAOQAOA==,appletv_children:topic,ok
